"","city","date","MaxTemp_mae","MinTemp_mae","count.x","count.y","long","lat","MaxTemp","MaxTemp_forecast","MinTemp","MinTemp_forecast","year","month"
"1","Albany",Jul 2014,1.77857142857143,2.88571428571429,140,140,-73.75,42.6667,81.0869565217391,82.0534161490683,61.8260869565217,61.4802277432712,2014,7
"2","Albany",Aug 2014,2.10752688172043,3.43548387096774,186,186,-73.75,42.6667,79.258064516129,79.7741935483871,59.258064516129,59.8978494623656,2014,8
"3","Albany",Sep 2014,3.12222222222222,4.4,180,180,-73.75,42.6667,74.7,74.0833333333333,51.7333333333333,53.0666666666667,2014,9
"4","Albany",Oct 2014,2.90322580645161,5.96236559139785,186,186,-73.75,42.6667,62.9032258064516,62.6182795698925,45.1290322580645,46,2014,10
"5","Albany",Nov 2014,3.32777777777778,4.81111111111111,180,180,-73.75,42.6667,46.5333333333333,44.5833333333333,30.0333333333333,31.3166666666667,2014,11
"6","Albany",Dec 2014,3.55376344086022,5.94623655913978,186,186,-73.75,42.6667,37.8709677419355,38.4354838709677,27.1935483870968,28.3817204301075,2014,12
"7","Albany",Jan 2015,3.6231884057971,7.78985507246377,138,138,-73.75,42.6667,29.3448275862069,27.5103448275862,11.3793103448276,14.5459770114943,2015,1
"8","Albany",Feb 2015,3.9047619047619,9.17261904761905,168,168,-73.75,42.6667,22.9642857142857,19.8511904761905,2.42857142857143,3.5952380952381,2015,2
"9","Albany",Mar 2015,3.26111111111111,7.75,180,180,-73.75,42.6667,38.9677419354839,38.4204301075269,20.6774193548387,22.7881720430108,2015,3
"10","Albany",Apr 2015,4.31034482758621,4.74137931034483,174,174,-73.75,42.6667,58.7,57.1922222222222,36.8666666666667,38.9566666666667,2015,4
"11","Albany",May 2015,3.87428571428571,4.96,175,175,-73.75,42.6667,78.3548387096774,76.0505376344086,52.7741935483871,54.4967741935484,2015,5
"12","Albany",Jun 2015,2.88888888888889,4.41666666666667,180,180,-73.75,42.6667,76.3666666666667,77.6166666666667,57.2333333333333,59.1655555555556,2015,6
"13","Albany",Jul 2015,2.3979057591623,3.5130890052356,191,191,-73.75,42.6667,83.7096774193548,83.5030721966206,62.3225806451613,63.4761904761905,2015,7
"14","Albany",Aug 2015,2.07329842931937,2.92146596858639,191,191,-73.75,42.6667,83.9032258064516,82.6866359447005,62.258064516129,62.099846390169,2015,8
"15","Albany",Sep 2015,2.33155080213904,3.35294117647059,187,187,-73.75,42.6667,79.9333333333333,79.218253968254,57.2,57.6079365079365,2015,9
"16","Albany",Oct 2015,2.81868131868132,5.15384615384615,182,182,-73.75,42.6667,59.8387096774194,58.6749615975422,39.7096774193548,42.0680491551459,2015,10
"17","Albany",Nov 2015,3.53846153846154,6.74358974358974,39,39,-73.75,42.6667,56.9375,53.9583333333333,36.6875,39.3583333333333,2015,11
"18","Albany",Dec 2015,3.84848484848485,4.68181818181818,66,66,-73.75,42.6667,51.5454545454545,49.3462121212121,35.8181818181818,36.3151515151515,2015,12
"19","Albany",Jan 2016,3.46794871794872,4.90705128205128,156,156,-73.75,42.6667,35.9259259259259,33.6283950617284,18.962962962963,21.2635802469136,2016,1
"20","Albany",Feb 2016,4.35119047619048,6.80357142857143,168,168,-73.75,42.6667,40.551724137931,36.9977011494253,20.6206896551724,23.4718390804598,2016,2
"21","Albany",Mar 2016,4.25,5.33035714285714,168,168,-73.75,42.6667,52.9354838709677,50.1225806451613,32.5161290322581,34.433064516129,2016,3
"22","Albany",Apr 2016,3.60555555555556,5.15555555555556,180,180,-73.75,42.6667,57.1666666666667,55.3088888888889,34.7333333333333,36.1627777777778,2016,4
"23","Albany",May 2016,3.61827956989247,4.17741935483871,186,186,-73.75,42.6667,70.2258064516129,70.0698924731183,48.7096774193548,50.7096774193548,2016,5
"24","Albany",Jun 2016,2.7,3.33611111111111,180,180,-73.75,42.6667,79.9333333333333,78.85,56.4666666666667,57.675,2016,6
"25","Albany",Jul 2016,2.55913978494624,3.23655913978495,186,186,-73.75,42.6667,84.8709677419355,85.5967741935484,63.0967741935484,64.7688172043011,2016,7
"26","Albany",Aug 2016,2.11538461538462,2.95512820512821,156,156,-73.75,42.6667,84.0322580645161,84.4731182795699,63.741935483871,65.1413978494624,2016,8
"27","Albany",Sep 2016,2.11111111111111,3.99444444444444,90,90,-73.75,42.6667,73.7333333333333,73.3044444444444,51.6666666666667,54.1455555555556,2016,9
"28","Albany",Oct 2016,2.63440860215054,5.25268817204301,186,186,-73.75,42.6667,61.7741935483871,61.8333333333333,43.0322580645161,44.7795698924731,2016,10
"29","Albany",Nov 2016,2.56896551724138,4.97413793103448,174,174,-73.75,42.6667,50.5666666666667,49.9877777777778,32.2333333333333,35.5744444444444,2016,11
"30","Albany",Dec 2016,2.39784946236559,5.85483870967742,186,186,-73.75,42.6667,37.6774193548387,36.2849462365591,23,24.2741935483871,2016,12
"31","Albany",Jan 2017,3.6547619047619,5.91071428571429,168,168,-73.75,42.6667,37.3870967741936,36.5182795698925,24.1935483870968,25.5521505376344,2017,1
"32","Albany",Feb 2017,5.33333333333333,6.34226190476191,168,168,-73.75,42.6667,42.7142857142857,39.1071428571429,23.8928571428571,25.8184523809524,2017,2
"33","Albany",Mar 2017,4.38888888888889,6.46944444444444,180,180,-73.75,42.6667,40.6129032258064,39.6612903225806,22.7741935483871,24.3537634408602,2017,3
"34","Albany",Apr 2017,4.9375,4.96354166666667,96,96,-73.75,42.6667,63.0952380952381,60.2293650793651,41.6666666666667,42.3436507936508,2017,4
"35","Albany",May 2017,4.34848484848485,3.81060606060606,132,132,-73.75,42.6667,66.741935483871,67.2774193548387,48.0645161290323,50.1043010752688,2017,5
"36","Albany",Jun 2017,2.59195402298851,3.39367816091954,174,174,-73.75,42.6667,78.2666666666667,77.8355555555556,57.6333333333333,58.7222222222222,2017,6
"37","Albany",Jul 2017,2.22777777777778,2.97777777777778,180,180,-73.75,42.6667,81.2258064516129,81.8215053763441,62.2903225806452,63.1365591397849,2017,7
"38","Albany",Aug 2017,2.05882352941176,3.15882352941176,170,170,-73.75,42.6667,79.4193548387097,79.8182795698925,59.0645161290323,60.3311827956989,2017,8
"39","Amarillo",Jul 2014,3.01875,2.20625,160,160,-101.833,35.1833,88.1739130434783,89.4325051759834,65.7391304347826,66.0326086956522,2014,7
"40","Amarillo",Aug 2014,3.99537037037037,2.19444444444444,216,216,-101.833,35.1833,93.2258064516129,90.5552995391705,65.2903225806452,65.5330261136713,2014,8
"41","Amarillo",Sep 2014,3.36363636363636,2.98564593301435,209,209,-101.833,35.1833,80.1666666666667,81.231746031746,58.5666666666667,59.7706349206349,2014,9
"42","Amarillo",Oct 2014,3.86635944700461,3.50230414746544,217,217,-101.833,35.1833,75.5483870967742,74.9769585253456,47.4516129032258,48.8341013824885,2014,10
"43","Amarillo",Nov 2014,6.2,4.81428571428571,210,210,-101.833,35.1833,58.2,56.352380952381,29.3333333333333,32.0809523809524,2014,11
"44","Amarillo",Dec 2014,4.89861751152074,3.47926267281106,217,217,-101.833,35.1833,50.8709677419355,51.0138248847926,28.6774193548387,29.7972350230415,2014,12
"45","Amarillo",Jan 2015,6.50310559006211,3.78260869565217,161,161,-101.833,35.1833,47.8,45.851746031746,25.2666666666667,25.0148412698413,2015,1
"46","Amarillo",Feb 2015,6.95918367346939,4.35714285714286,196,196,-101.833,35.1833,55.1428571428571,52.1632653061224,25.2857142857143,28.6734693877551,2015,2
